Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 9/4/2024 3:32:51 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
10/23/2023  15:35:55.900  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.960  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.020  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.090  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.230  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.300  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.350  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.410  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.470  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.530  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.590  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.650  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.720  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.780  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.830  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.860  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.930  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:56.990  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:57.050  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:57.110  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:57.230  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
