date,species,temp,sex,mass,id,age,site
8/26/20,MYLU,NA,M,7.88,P_989.001034203204,A,MAOC
8/26/20,MYLU,NA,M,9.25,P_989.001034203128,A,MAOC
8/27/20,MYLU,NA,M,6.49,P_989.001034203144,J,MAOC
8/27/20,MYLU,NA,M,6.35,P_989.001034203159,J,MAOC
8/27/20,MYLU,NA,F,6.5,P_989.001034203172,J,MAOC
8/27/20,MYLU,NA,M,7.58,P_989.001034203127,A,MAOC
8/27/20,MYLU,NA,F,7.73,P_989.001034203124,J,MAOC
8/27/20,MYLU,NA,M,6.53,P_989.001034203131,J,MAOC
8/27/20,MYLU,NA,F,7.28,P_989.001034203155,J,MAOC
8/27/20,MYLU,NA,M,9.38,P_989.001034203168,A,MAOC
8/27/20,MYLU,NA,F,6.56,P_989.001034203193,J,MAOC
8/27/20,MYLU,NA,M,6.58,P_989.001034203203,J,MAOC
8/27/20,MYLU,NA,F,6.67,P_989.001034203174,J,MAOC
8/27/20,MYLU,NA,M,7.18,P_989.001034203194,J,MAOC
8/27/20,MYLU,NA,M,6.38,P_989.001034203126,J,MAOC
8/27/20,MYLU,NA,M,6.82,P_989.001034203112,J,MAOC
